year,global_avg_life_expectancy
2000,66.90662283490795
2001,67.23756766504096
2002,67.47767488346544
2003,67.71290453090224
2004,68.03364613998768
2005,68.3918530146281
2006,68.84171894724055
2007,69.20108615520388
2008,69.55586812662524
2009,69.94995390721994
2010,70.20267751974653
2011,70.61421191784763
2012,70.93509886985602
2013,71.23961222449014
2014,71.39384178043336
2015,71.58356989631358
2016,71.85477321831755
2017,72.06929123309231
2018,72.31876826471137
2019,72.51123661218688
2020,72.0017502954764
2021,71.22027664036713
